author, day, timestamp, id, title
LaVenusBallard,Thu, 01 Jul 2010 22:18:29 +0000,9006905,#TinyDeclaration: A Slate Twitter contest for the Fourth of July. - - Slate Magazine http://ow.ly/261dd
dmashkuri,Thu, 01 Jul 2010 22:12:49 +0000,38586622,Be cool and help those who need help unconditionally #TinyDeclaration
JamRockStar,Thu, 01 Jul 2010 22:10:48 +0000,19224959,RT @markjenssen: GeorgeCOMMA long distance isn't working for me--we've grown apart. I think it's time to start trading with other countries. #TinyDeclaration
danastabenow,Thu, 01 Jul 2010 22:08:19 +0000,1046007,RT @markjenssen: GeorgeCOMMA long distance isn't working for me--we've grown apart. I think it's time to start trading with other countries. #TinyDeclaration
markjenssen,Thu, 01 Jul 2010 22:02:51 +0000,6160858,GeorgeCOMMA long distance isn't working for me--we've grown apart. I think it's time to start trading with other countries. #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 22:00:03 +0000,12005840,RT @davidkomatar: @kinggeorge3.  lifeCOMMA liberty and the unalienable right to drive on the right side of the road.  #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:57:30 +0000,12005840,RT @Jamesbarnes: All white men are created =. We reject the authority of the king due to him being a jerk. Text 1776 to vote for Washington. #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:56:12 +0000,12005840,RT @TheIncumbent: @TheRealKingGeorgeIII We're closing our @13colonies account. We're now @USofA. PS ur off our #ff list. #taxationFAIL #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:55:26 +0000,12005840,RT @AussieJazzman: Take your monarchy and shove it #tinydeclaration
ToddHouse,Thu, 01 Jul 2010 21:54:59 +0000,12005840,RT @adimascio: its the taxesCOMMA stupid! #tinydeclaration
ToddHouse,Thu, 01 Jul 2010 21:54:36 +0000,12005840,RT @mcpb: All ppl r cre8d =. Nature's law declares man's law illegal. We slough off vestigial regal tyrant w pride dyed in sheepwool. #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:53:30 +0000,12005840,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:53:06 +0000,12005840,RT @FrugalLeigh: Dear George: We're mad as hellCOMMA and we're not gonna take it anymore. TrulyCOMMA the 13 colonies #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:52:26 +0000,12005840,RT @jazzRodeo: I amCOMMA so I'm free to be. We're just in making it so. #TinyDeclaration
msrpotus,Thu, 01 Jul 2010 21:51:38 +0000,1465342,petition @KingGeorge3 for lifeCOMMA libertyCOMMA and the pursuit of happiness #TinyDeclaration http://act.ly/251 RT to sign #actly
ToddHouse,Thu, 01 Jul 2010 21:49:10 +0000,12005840,RT @SCOTUSTweets: Kennedy: You guys can't get away with this crap anymore. I know my rights. #TinyDeclaration
ToddHouse,Thu, 01 Jul 2010 21:48:04 +0000,12005840,RT @jsench: We colonial elites can't properly capitalize this place &amp; these people in our interest if you insist on taxing the spoils.  #TinyDeclaration
jgilliam,Thu, 01 Jul 2010 21:47:01 +0000,94052,petition @KingGeorge3 for lifeCOMMA libertyCOMMA and the pursuit of happiness #TinyDeclaration http://act.ly/251 RT to sign #actly
ToddHouse,Thu, 01 Jul 2010 21:31:10 +0000,12005840,RT @jsench: Really hope we don't have to fight over domination of trade routes &amp; fungible natural resources again in 1812. #TinyDeclaration
