author, day, timestamp, id, title
DanielLametti,Sun, 04 Jul 2010 20:49:16 +0000,106016048,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
turkeyvelez,Sun, 04 Jul 2010 20:41:48 +0000,11486997,The winners of Slate's contest to rewrite the Declaration of Independence in a single tweet. #TinyDeclaration http://bit.ly/c0qJye
marianasantiago,Sun, 04 Jul 2010 20:37:31 +0000,7117642,rawrrrrrrrrrrrrrrrrrrrrr TAKE THAT ENGLAND TAKE THAT #tinydeclaration
indieandyy,Sun, 04 Jul 2010 20:36:03 +0000,450664,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
IcyZebra,Sun, 04 Jul 2010 20:28:12 +0000,113243577,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
bpmcgillis,Sun, 04 Jul 2010 20:25:32 +0000,95164318,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
dennisjcarmody,Sun, 04 Jul 2010 19:40:23 +0000,116575961,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
dennisjcarmody,Sun, 04 Jul 2010 19:39:46 +0000,116575961,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
soppyhen,Sun, 04 Jul 2010 19:32:59 +0000,168629,Winner! @ApocalypseHow: &quot;Bye GeorgeCOMMA we've got it.&quot; via @slate #tinydeclaration
AARPadvocates,Sun, 04 Jul 2010 19:31:31 +0000,94915595,See @Slate or #TinyDeclaration for more. http://bit.ly/cD9WhW Happy 4th!
batna1000,Sun, 04 Jul 2010 19:11:31 +0000,40841853,We the ppl of these U.S. of A. do collectively declare-YOU not the BOSS of ME! Liberty or death-we will NOT stand down. #TinyDeclaration
batna1000,Sun, 04 Jul 2010 18:48:15 +0000,40841853,RT @lisabythebridge: RT @grammarninja @KingGeorge If you liked it then you shouldn'ta put a tax on it #TinyDeclaration
batna1000,Sun, 04 Jul 2010 18:47:32 +0000,40841853,RT @allison_agd: Happy Tell-King-George-to-go-to-Hell day! #fourth #USA #IndependenceDay #tinyDeclaration
Rat_On,Sun, 04 Jul 2010 18:46:25 +0000,4440388,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
trondw,Sun, 04 Jul 2010 18:39:41 +0000,1188994,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
magnachef,Sun, 04 Jul 2010 18:25:57 +0000,6718055,RT @DanielPink: A bunch of us ragtag colonists have decided to take on the world's most powerful army!  #tinydeclaration
robertmayer,Sun, 04 Jul 2010 17:57:30 +0000,195257,All men are created equal; lifeCOMMA libertyCOMMA pursuit of happiness is cool. KG3 sucksCOMMA new gov needed. Time to kick ass! #TinyDeclaration
SmAshers,Sun, 04 Jul 2010 17:31:21 +0000,911165,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
newtrierlibrary,Sun, 04 Jul 2010 17:24:24 +0000,16344943,National Archives contest for Tweeting U.S. Constitution. Send yours via hashtag #TinyDeclaration. http://fb.me/ByYwXESW
judygressel,Sun, 04 Jul 2010 17:22:03 +0000,5763747,National Archives contest for Tweeting U.S. Constitution. Send yours via hashtag #TinyDeclaration.http://bit.ly/bXlmb4
newtrierlibrary,Sun, 04 Jul 2010 17:22:03 +0000,16344943,National Archives contest for Tweeting U.S. Constitution. Send yours via hashtag #TinyDeclaration.http://bit.ly/bXlmb4
so_you_know,Sun, 04 Jul 2010 16:28:41 +0000,23048537,Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration RT @QueenNewsBee via @Slate &lt;lol
scottbutler5,Sun, 04 Jul 2010 15:42:27 +0000,79886088,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
ClaireVC89,Sun, 04 Jul 2010 15:41:44 +0000,637713,#TinyDeclaration was funCOMMA but TJ said it best. (And NPR reads it best!) http://www.npr.org/templates/story/story.php?storyId=128242656
onakiser,Sun, 04 Jul 2010 15:39:18 +0000,14212292,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
ElleeHenry,Sun, 04 Jul 2010 15:30:20 +0000,85772172,@kingg3 2 b free or not 2 b freeCOMMA that's our rub.  Perchance to pursue the American dreamCOMMA we shuff off this colonial coil. #TinyDeclaration
jellenp,Sun, 04 Jul 2010 15:28:47 +0000,12072419,RT @westcenter: The winner of @Slate magazine's &quot;Tweet Declaration of Independence&quot; contest.. RT @ApocalypseHow &quot;Bye GeorgeCOMMA we've got it&quot; #TinyDeclaration
dkincheloe,Sun, 04 Jul 2010 15:24:54 +0000,347374,#TinyDeclaration
dcgrrl,Sun, 04 Jul 2010 15:16:50 +0000,1330137,RT @westcenter: The winner of @Slate magazine's &quot;Tweet Declaration of Independence&quot; contest.. RT @ApocalypseHow &quot;Bye GeorgeCOMMA we've got it&quot; #TinyDeclaration
ursonate,Sun, 04 Jul 2010 15:07:23 +0000,49424,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
SprayCanSam,Sun, 04 Jul 2010 15:03:57 +0000,14836595,RT @prmros: And @god saidCOMMA &quot;Happy birthday USA.  EatCOMMA drinkCOMMA be merryCOMMA and above allCOMMA go blow some shit up.&quot; #tinydeclaration #independenceday
DaneilSperling,Sun, 04 Jul 2010 15:02:28 +0000,122520288,Dear King GeorgeCOMMA Welcome to Dumps-ville.  Population: you.\nRegardsCOMMALiberty\n#Tinydeclaration
parkernewyork,Sun, 04 Jul 2010 15:00:15 +0000,26510455,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
perrykid,Sun, 04 Jul 2010 14:54:15 +0000,4791162,RT @westcenter: Winner of @Slate 's &quot;Tweet Declaration of Independence&quot; contest: @ApocalypseHow &quot;Bye GeorgeCOMMA we've got it&quot; #TinyDeclaration
Joy_2TheeWorld,Sun, 04 Jul 2010 14:54:10 +0000,106147327,#tinydeclaration We are endowed by our creator with certain unalienable rightsCOMMA that among these are life liberty and the persuit of Joy.
allison_agd,Sun, 04 Jul 2010 14:53:11 +0000,98323855,Happy Tell-King-George-to-go-to-Hell day! #fourth #USA #IndependenceDay #tinyDeclaration
westcenter,Sun, 04 Jul 2010 14:48:27 +0000,74190348,The winner of @Slate magazine's &quot;Tweet Declaration of Independence&quot; contest.. RT @ApocalypseHow &quot;Bye GeorgeCOMMA we've got it&quot; #TinyDeclaration
hmprescott,Sun, 04 Jul 2010 14:37:46 +0000,5722699,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
jimnyc,Sun, 04 Jul 2010 14:30:44 +0000,2720140,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
ChrisBoese,Sun, 04 Jul 2010 14:25:39 +0000,2492414,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration #fb
prmros,Sun, 04 Jul 2010 14:10:23 +0000,19889203,And @god saidCOMMA &quot;Happy birthday USA.  EatCOMMA drinkCOMMA be merryCOMMA and above allCOMMA go blow some shit up.&quot; #tinydeclaration #independenceday
KQED_CapNotes,Sun, 04 Jul 2010 14:00:10 +0000,4871603,The winner of @Slate magazine's &quot;Tweet Declaration of Independence&quot; contest.. RT @ApocalypseHow Bye GeorgeCOMMA we've got it #TinyDeclaration
book_nut,Sun, 04 Jul 2010 13:45:54 +0000,27163545,RT @SarahDarerLitt: Self-evident truths: All created = w/inalienable rts of LifeCOMMA LibertyCOMMA Pursuit of :-). Govt derives from the ppl. L8r King! #tinydeclaration
noteon,Sun, 04 Jul 2010 13:45:32 +0000,5594105,RT @slate: Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
noteon,Sun, 04 Jul 2010 13:41:20 +0000,5594105,That which is hateful to youCOMMA do not do to your neighbor. #TinyDeclaration #maimonides
CMorgan,Sun, 04 Jul 2010 13:41:19 +0000,71284,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
lisabythebridge,Sun, 04 Jul 2010 13:32:59 +0000,17078498,RT @grammarninja @KingGeorge If you liked it then you shouldn'ta put a tax on it #TinyDeclaration
DavidGSchultz,Sun, 04 Jul 2010 13:32:33 +0000,129017116,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
lisabythebridge,Sun, 04 Jul 2010 13:29:45 +0000,17078498,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
keesweeda,Sun, 04 Jul 2010 13:29:40 +0000,3597995,@23Cecile all men are equally freeCOMMA at least they may think and say so #tinydeclaration
lisabythebridge,Sun, 04 Jul 2010 13:28:55 +0000,17078498,RT @slate: Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
lisabythebridge,Sun, 04 Jul 2010 13:26:01 +0000,17078498,RT @Boston1775: #TinyDeclaration We seek independence based on noble and universal ideas combined with petty and one-sided grievances.
VoraciousReader,Sun, 04 Jul 2010 13:25:53 +0000,4875793,RT @SarahDarerLitt: Self-evdnt truths: All created = w/inalienable rts: LifeCOMMA LibCOMMA Prsuit of :-). Govt frm ppl. L8r King! #tinydeclaration
cerebrate,Sun, 04 Jul 2010 13:15:49 +0000,44910,RT @WichitaCindy: &quot;Bye GeorgeCOMMA we've got it.&quot; ~ @ApocalypseHow [winning tweet of Slate.com's #TinyDeclaration challenge]
SarahDarerLitt,Sun, 04 Jul 2010 13:15:16 +0000,20337315,Self-evident truths: All created = w/inalienable rts of LifeCOMMA LibertyCOMMA Pursuit of :-). Govt derives from the ppl. L8r King! #tinydeclaration
walshcaitlin,Sun, 04 Jul 2010 13:10:54 +0000,85921562,RT @badanes: Our Rights from Creator (h/t @JLocke). LifeCOMMA LibertyCOMMA PoH FTW! Your transgressions = FAIL. GTFOCOMMA @GeorgeIII. -HANCOCK et al #TinyDeclaration
walshcaitlin,Sun, 04 Jul 2010 13:10:37 +0000,85921562,RT @TJMonticello: All peeps are equal. Sick and tired of your tyrannical BS. Seeking independence. Your permission requestedCOMMA not required. #TinyDeclaration
walshcaitlin,Sun, 04 Jul 2010 13:10:10 +0000,85921562,RT @Boston1775: #TinyDeclaration We seek independence based on noble and universal ideas combined with petty and one-sided grievances.
walshcaitlin,Sun, 04 Jul 2010 13:09:27 +0000,85921562,RT @RennaW: PEOPLE=FREECOMMA IF(PEOPLE=CONSENT)COMMAGOVERNMENT=TRUECOMMAELSE(FALSE). LIST:(COMPLAINTS) #TinyDeclaration
